stake_id,glacier,date_start,date_end,dt_days,dx,dy,dz,daily_segment_speed
EH27,hurd,2024-03-12,2025-01-08,302,-2.31300,-1.23500,-0.29100,0.00868
EH27,hurd,2025-01-08,2025-03-05,56,-0.50739,-0.29396,-0.06760,0.01047
EH30,hurd,2022-12-23,2024-01-08,381,-1.59500,-3.48200,-3.98600,0.01005
EH30,hurd,2024-01-08,2024-03-04,56,-0.26800,-0.40000,3.34200,0.00860
EH30,hurd,2024-03-04,2025-01-08,310,-1.34800,-2.51100,0.58500,0.00919
EH30,hurd,2025-01-08,2025-03-02,53,-0.22985,-0.52771,-0.43550,0.01086
EH36,hurd,2022-12-24,2024-01-06,378,-3.42000,1.72400,-1.61000,0.01013
EH36,hurd,2024-01-06,2024-03-11,65,-0.58100,0.23200,0.04600,0.00962
EH36,hurd,2024-03-11,2025-01-08,303,-2.56500,1.29700,-0.76000,0.00949
EH36,hurd,2025-01-08,2025-03-06,57,-0.58296,0.45489,-0.32859,0.01297
EH51,hurd,2022-12-24,2023-02-22,60,-0.64028,0.44461,-0.24037,0.01299
EH51,hurd,2023-02-22,2024-01-06,318,-3.33772,0.70239,-7.42063,0.01073
EH51,hurd,2024-01-06,2024-03-11,65,-0.86700,0.75800,3.87700,0.01772
EH51,hurd,2024-03-11,2025-01-08,303,-2.53800,2.15200,-0.38900,0.01098
EH53,hurd,2022-12-24,2023-02-22,60,-0.58100,0.24500,-0.20400,0.01051
EH53,hurd,2023-02-22,2024-01-06,318,-1.68300,2.57700,-6.62500,0.00968
EH53,hurd,2024-01-06,2024-03-11,65,-0.64800,0.35900,3.80100,0.01140
EH53,hurd,2024-03-11,2025-01-08,303,-2.67200,2.38300,-0.46000,0.01182
EH53,hurd,2025-01-08,2025-03-06,57,-0.59594,0.20283,-0.19876,0.01104
EH54,hurd,2022-12-24,2023-02-23,61,0.17300,-0.19000,0.01500,0.00421
EH54,hurd,2023-02-23,2024-01-05,316,0.20002,0.32842,-4.07557,0.00122
EH54,hurd,2024-01-05,2024-03-13,68,-0.81602,-0.06842,3.86357,0.01204
EH54,hurd,2024-03-13,2025-01-08,301,0.99672,-0.07405,0.01496,0.00332
EH54,hurd,2025-01-08,2025-03-06,57,-0.89665,0.39959,0.01454,0.01722
EH55,hurd,2022-12-24,2024-01-05,377,-1.75000,1.21500,-7.05000,0.00565
EH55,hurd,2024-01-05,2024-03-13,68,-0.33200,0.07400,3.88900,0.00500
EH55,hurd,2024-03-13,2025-01-08,301,-1.59000,0.50500,-0.31600,0.00554
EH55,hurd,2025-01-08,2025-03-06,57,-0.53210,0.29212,1.85172,0.01065
EH56,hurd,2022-12-24,2024-01-05,377,-1.36700,1.37100,-6.73900,0.00514
EH56,hurd,2024-01-05,2024-03-13,68,-0.44400,0.05600,3.91000,0.00658
EH56,hurd,2024-03-13,2025-01-08,301,-1.46800,0.45300,-0.18100,0.00510
EH56,hurd,2025-01-08,2025-03-06,57,-0.36939,0.12694,-0.05658,0.00685
EH59,hurd,2022-12-23,2024-01-03,376,-1.92500,-1.15500,-5.74700,0.00597
EH59,hurd,2024-01-03,2024-03-12,69,-0.66800,-0.45800,4.08100,0.01174
EH59,hurd,2024-03-12,2025-01-08,302,-1.95400,-1.47500,0.24900,0.00811
EH59,hurd,2025-01-08,2025-03-05,56,-0.44663,-0.31417,0.04857,0.00975
EH61,hurd,2022-12-23,2024-01-03,376,-3.64500,-1.93100,-6.50300,0.01097
EH61,hurd,2024-01-03,2024-03-12,69,-1.03400,-0.66800,4.02300,0.01784
EH61,hurd,2024-03-12,2025-01-08,302,-2.63400,-1.73400,-0.02800,0.01044
EH61,hurd,2025-01-08,2025-03-05,56,-0.66281,-0.40993,0.00812,0.01392
EH64,hurd,2022-12-23,2024-01-04,377,-0.89500,-5.95800,-5.36300,0.01598
EH64,hurd,2024-01-04,2024-03-04,60,-1.64300,-1.46300,4.20300,0.03667
EH64,hurd,2024-03-04,2025-01-08,310,-2.05600,-4.92600,-0.96300,0.01722
